,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
0,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
2,Riyadh,   حي المعيزلة ,غرب,250.00,0.00,5.00,5.00,3.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,55000.00,"فيلا للايجار        جديده لن تستخدم          شارع 20



تتكون من     من مجلس مشب  ومقلط وصاله  وغرفه ومطبخ  و٢ دوره مياه 

درج فوق  ٢ غرفه ماستر  و٢ غرفه وصاله و٣دوره مياه 
سطح غرفه شغاله ودوره مياه 
وبتوفيق للجميع .

وتساب 0553216330"
5,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
11,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,85000.00,"== للايجار فيلا دبلكس راقية جدا وموقعها ممتاز 

== الموقع حى العارض شمال الملك سلمان 

==مواصفات الفيلا ،،،،،،

===== الدور الارضى ====


== مجلس رجال == مقلط طعام == صاله عائلية 

== مطبخ راكب بفتح على الصاله والحوش 

== حوش امامى وحوش خلفى صغير  

..."
12,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
14,Riyadh,   حي المونسية ,جنوب,350.00,0.00,3.00,3.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,65000.00,فله درج داخلي جديدة مجالس تحت وفوق ٣غرف نوم للاجار بالمونسيه.....خوجا...موقع ممتاز وديكورات جبسيه
18,Riyadh,   حي المونسية ,شمال غربي,290.00,0.00,7.00,5.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,90000.00,"للإيجار فيلا جديده مستخدمه ثلاثة أشهر حي المونسية الغربيه موقع مميز جداً  قريبه من المطار ومن جميع الخدمات على شارعين  مطبخ راكب + فرن + ميكرويف +ثلاجات عدد ٢ +ومكيفات راكبة سبليت جميع الغرف + مكيف دولاب في الصاله  + غسالات اتوماتيك عدد ٣ 


 🔷 أسس ..."
19,Riyadh,   حي العقيق ,غرب,375.00,13.00,5.00,5.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,80000.00,"فيلا للايجار بالعقيق
مكونه من
مدخل سياره وملحق خارجي وحوش ومجلس رجال ومقلط وصاله ومطبخ بداخله مستودع صغير وغرفه كبار سن
وفوق ٤ غرف نوم وصاله
والسطح غرفه شغاله 
بدون بدون بدون مطبخ ولا مكيفات
الايجار ٨٠الف

و"
22,Riyadh,   حي القادسية ,غرب,250.00,0.00,5.00,5.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,55000.00,"ايجار فيلا جديد دبلكس متلاصقه مشب مقلط مجلس رجال صالةغرفة كبارسن مطبخ هذا الارضي اربع غرف نوم ثنين غرفة نوم ماستر صاله كورنر صغير كوفي
الاول غرفة شغاله حمام سطح الثاني
باقي التفاصيل واتس......"
23,Riyadh,   حي النرجس ,شرق,270.00,0.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,100000.00,"للايجار فيلا درج صاله

شغل مودرن تصميم راقي جداً

بحي النرجس

عمرها سنة وحده

المساحه ٢٧٠م شارع ١٥شرقي 

تتكون من....
الدور الارضي استقبال بالكامل

حوش و مدخل سياره 🚐 و غرفة سائق
مجلس رجال و مقلط و صاله ومطبخ راكب
ومكيفات راكب اسبلت

الدور العلوي......"
27,Riyadh,   حي النرجس ,غرب,300.00,0.00,5.00,5.00,3.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,70000.00,"فله مساحه ٣٠٠ م بحي النرجس شمال سلمان مباشره للايجار .
الارضي مجلس رجال وغرفه طعام وصالتين 
وغرفه خادمه مستقله 
ملحق مستقل بحمام
مطبخ راكب ..
بوفيه 
غرفة ملابس وغساله اوتماتيك .
الدور الاول ٣ غرف بحماماته منها وحده ماستر 
صاله بحمام..مكيفات راكبه اسب..."
28,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
30,Riyadh,   حي المعيزلة ,غرب,250.00,0.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,55000.00,"فيلا للايجار     لن تستخدم  جديده   كن انت اول مستأجر  لمن يبحث عن الجميل والمنزل الراقي 
الفيلا علي شارع ٢٠
حي القادسيه الجديده 
تتكون من دور ارضي 
مقلط 
ومجلس
٢ دوره مياه 
مطبخ 
وصاله 
درج اعلا تتكون من 
٢ غرف ماستر 
٢ غرف عادي 
٢دوره مياه 
وصاله 
..."
32,Riyadh,   حي المونسية ,جنوب,312.00,0.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,65000.00,"جديدددددددد🔄
فيلا درج داخلي،
استقبال تحت،
و٣ غرف نوم فوق،
وفوق غرفة غسيل..
المساحة ٣١٢ م
الشارع ١٥ جنوبي،
للايجار ٦٥ الف السنة.."
35,Riyadh,   حي القادسية ,غرب,250.00,0.00,5.00,5.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,55000.00,"إيجار فيلا درج داخلي جديدة تمامآ تشطيب سوبر لوكس ممتازة جدآ
الدور الارضي يتكون من مدخل سيارة و حوش و مجلس رجال و مقلط و صالة كبيرة و مطبخ و اثنين غرفة كبار السن و ثلاث دورات مياه الدور الاول يتكون من أربع غرف نوم منهم اثنين ماستر و دورة مياه الدور ال..."
36,Riyadh,   حي القادسية ,غرب,250.00,0.00,5.00,5.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,55000.00,"إيجار فيلا حي القادسية مساحة ٢٥٠ متر درج داخلي تتكون من مشب
مقلط
مجلس رجال
صالة
غرفة كبار سن
مطبخ 
هذا الارضي اربع غرف نوم 
ثنين غرفة نوم ماستر 
صاله
كورنر صغير كوفي
الاول غرفة شغاله 
حمام
سطح
الثاني الايجار سنوي ٥٥ الف"
37,Riyadh,   حي الربيع ,جنوب غربي,327.00,10.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,100000.00,"للايجار فيلا بحي الربيع الشرقي مساحه 327م
زاوية جنوبيه غربية شوارع 15متر
تحت استقبال كامل 
مجلس ومقلط وصاله 
غرفه سائق 
مدخل سياره 
الدور الاول علوي 
4غرف نوم وصاله 
السطح غرفه شغاله ومكان غسيل 
ركب مكيفات 
بدون مطبخ
عليها 100الف"
39,Riyadh,   حي العارض ,شرق,325.00,7.00,5.00,5.00,4.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,90000.00,"فيلا للإيجار في حي النرجس

الأرضي: مجلس + صالة + مقلط + مجلس نساء + مطبخ + ملحق   
الأول: 5غرف نوم + 3غرف نوم ماستر+ غرفتين نوم ودورة مياه + غرفة ملابس

الثاني: غرفة خادمة + سطح 

مشاري

0556118008  

وائل الزارع

0535747576


   &&شركة باز التنمية ل..."
41,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
42,Riyadh,   حي الروضة ,جنوب,352.00,30.00,7.00,5.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,80000.00,"الجزء الثاني (يوجد جزء ثالث واخير )
======================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا ..."
48,Riyadh,   حي الروضة ,جنوب,352.00,30.00,7.00,5.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,80000.00,"الجزء الثالث والاخير للتصوير
==================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا من ( 3 مداخ..."
53,Riyadh,   حي المونسية ,جنوب,360.00,2.00,4.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,55000.00,فيلا  الايجار  درج داخلي  تحت مجالس   فوق  ٣ غرف نوم  معي دورات مياة
55,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
56,Riyadh,   حي عليشة ,شمال,325.00,12.00,5.00,4.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,50000.00,"للايجار فله يحي عليشه الموقع ممتاز جدا 
 الاستفسار اتصل 0569665214"
57,Riyadh,   حي الرمال ,غرب,310.00,0.00,7.00,4.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,56000.00,"فيلا جديدة في حي الرمال للإيجار 
حي الرمال - شارع

الفيلا تتكون من :
الدور ارضي مدخل سيارة + حوش + ملحق خارجي + مشب
مجلس
مقلط
صالة
مطبخ
دورتين مياه

الدور العلوي
٣ غرف نوم 
دورة مياه 
غرفة نوم ماستر
دورة مياه تبع الماستر

السطح
سطح كبير

🌐 روبى المس..."
62,Riyadh,   حي النرجس ,شرق,250.00,0.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,90000.00,"فيلا للايجار بالكامل 
٤ غرف نوم منها غرفتين ماستر
مجلس ومقلط و٥ حمامات وغرفه سائق وغرفه شغاله وسطح
يوجد مدخل سياره"
69,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
70,Riyadh,   حي الحزم ,شرق,298.00,0.00,5.00,5.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,50000.00,"السلام عليكم ورحمه الده وبركاته 
الفله تم تآجيرها مره واحده 
وانتهاء اجار المستاجر بتاريخ 
١١/٧/١٤٤٢

للتواصل واتس اب (0590619012)

الاجار اذا سنه (٤٠.٠٠٠ الف) 
الاجار  على جزئين (٥٠.٠٠٠ الف)"
72,Riyadh,   حي العارض ,جنوب,300.00,0.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,85000.00,"للايجار فيلا  حي العارض 

مساحه 300 متر 
شارع 20 جنوبي 

مدخل سيارة وغرفة سائق
مجلس و مقلط وصاله و مطبخ بمستودع و غرفة شغاله 

الدور الأول 

4 غرف نوم و صاله كبيرة"
